new_text,missing,deficient_slot,slot_freq,prompt
얘기책방,얘,(ㅒ|jung),57,"Realistic Korean street photograph. A close-up shot of a light blue sign with bold characters, mounted on a white brick wall under bright, even daylight., with the words of '얘기책방' at top."
얘기카페,얘,(ㅒ|jung),57,"Realistic Korean street photograph. The image shows a close-up of a building's facade with a gray, textured stone wall and two windows, beneath which a brightly lit white sign displays bold characters, suggesting a commercial establishment under clear, bright daylight., these texts are written on it: '얘기카페' located on bottom."
얘기보따리,얘,(ㅒ|jung),57,"Realistic Korean street photograph. A close-up of a brightly lit, black rectangular sign with white characters and English text, mounted on a dark tiled wall above what appears to be a storefront entrance, with warm lighting casting a glow and a red light reflecting below., with the words of '얘기보따리' located on middle."
얘기꽃집,얘,(ㅒ|jung),57,"Realistic Korean street photograph. A close-up shot captures a weathered, rust-colored metal sign mounted on a light-colored wall, featuring cut-out characters and embossed text under natural daylight., with the words of '얘기꽃집' placed in middle."
우리얘기식당,얘,(ㅒ|jung),57,"Realistic Korean street photograph. A close-up shot of a black sign with red trim and white lettering mounted on a brick building facade, with a blue sign above it, under bright daylight., texts that say '우리얘기식당' positioned in middle."
얘기나누는공간,얘,(ㅒ|jung),57,"Realistic Korean street photograph. A bright green storefront with large text on its sign and windows, set against a stone facade in a city street, under even, diffused daylight suggesting an overcast sky., content and position of the texts are '얘기나누는공간' located in top left."
삶의얘기,얘,(ㅒ|jung),57,"Realistic Korean street photograph. A weathered, white sign for a Korean establishment with and a phone number, mounted above a dark, recessed entrance of a building with gray stone cladding, under overcast, diffused daylight., with the words of '삶의얘기' placed at top."
얘기가있는집,얘,(ㅒ|jung),57,"Realistic Korean street photograph. A weathered storefront sign with green and red Korean characters is mounted above a green awning, set against a brick facade; the large window above reflects a city street and is decorated with red heart-shaped balloons and a banner, suggesting a festive, urban setting under bright daylight., captions shown in the snapshot are '얘기가있는집' located on middle."
달콤한얘기,얘,(ㅒ|jung),57,"Realistic Korean street photograph. A wet, checkered sidewalk reflects the overcast sky in front of a restaurant with a bright orange and white sign featuring cartoon chicken and beer imagery, flanked by vertical banners and a vending machine, suggesting recent rain., these texts are written on it: '달콤한얘기' located on top."
얘기꽃피다,얘,(ㅒ|jung),57,"Realistic Korean street photograph. A nighttime shot captures a brightly lit, blue storefront sign with large white characters, mounted on a building facade under a row of overhead lights, with a dark, tiled wall and windows visible above., texts that say '얘기꽃피다' placed on bottom."
걔네집밥,걔,(ㅒ|jung),57,"Realistic Korean street photograph. A weathered green and yellow sign for a Korean supermarket hangs above a storefront, set against a backdrop of tall apartment buildings under an overcast sky., these texts are written on it: '걔네집밥' positioned on middle."
걔네식당,걔,(ㅒ|jung),57,"Realistic Korean street photograph. A bright pink rectangular sign with a cartoon noodle bowl graphic is mounted on a dark gray tiled wall, likely outside a restaurant, under even, diffused lighting suggesting an overcast day or shaded area., content of the text in the graphic is '걔네식당' at right."
걔네빵집,걔,(ㅒ|jung),57,"Realistic Korean street photograph. A nighttime street scene shows a red storefront sign for a restaurant against a tiled building facade, with overhead wires and a smaller vertical sign visible under dim, artificial lighting., captions are '걔네빵집' placed on bottom left."
쟤네떡볶이,쟤,(ㅒ|jung),57,"Realistic Korean street photograph. At night, a brightly lit sign with white characters glows above a storefront with a blue striped awning, set against a dark building facade with warm interior lights visible through the windows., with the words of '쟤네떡볶이' positioned in center."
쟤네식당,쟤,(ㅒ|jung),57,"Realistic Korean street photograph. Under a clear, bright blue sky, a large, curved metal archway with a wooden panel background displays prominent white lettering, suggesting a station or public facility entrance with strong, direct sunlight casting defined shadows., captions are '쟤네식당' located at center."
맛있는얘기,얘,(ㅒ|jung),57,"Realistic Korean street photograph. The image shows the exterior of a Korean storefront with a light blue sign featuring stylized Korean text and heart symbols, mounted on a building with white tiled walls and blue window panels, under bright, clear daylight., captions shown in the snapshot are '맛있는얘기' located in left."
좋은얘기,얘,(ㅒ|jung),57,"Realistic Korean street photograph. A wooden sign is mounted on the facade of a brick building under a clear blue sky, with overhead utility wires crisscrossing above and a pedestrian crossing sign visible to the left., content and position of the texts are '좋은얘기' placed at middle."
새로운얘기,얘,(ㅒ|jung),57,"Realistic Korean street photograph. A bright blue outdoor sign with white and yellow text advertising study rooms on multiple floors, mounted on a building wall next to a rusty pipe, under clear daylight., textual material depicted in the image are '새로운얘기' placed at middle."
얘기는계속돼,얘,(ㅒ|jung),57,"Realistic Korean street photograph. A close-up shot of a dark brown sign with white lettering mounted on a rough, textured stone facade above a storefront, captured under even, diffused daylight with no visible weather effects., content and position of the texts are '얘기는계속돼' located on center."
예쁜얘기,얘,(ㅒ|jung),57,"Realistic Korean street photograph. The image shows a close-up of three large, white, three-dimensional characters mounted on a reddish-brown, horizontally grooved wooden or composite panel wall, under even, diffused daylight that suggests an overcast sky or shaded area., captions shown in the snapshot are '예쁜얘기' at center."
곬을찾아서,곬,(ㄽ|jong),1,"Realistic Korean street photograph. A close-up shot captures a weathered, pale yellow wall beneath a rusty, white-framed window with a rain-speckled glass pane, suggesting an outdoor, urban setting at night under artificial light., captions are '곬을찾아서' placed on bottom."
